ProteinID	Length	Start	End	Domain	Tool
Solyc03g006130	18aa	7	24	TM	tmhmm2.0c
Solyc03g006130	23aa	362	384	TM	tmhmm2.0c
Solyc03g115610	23aa	721	743	TM	tmhmm2.0c
Solyc03g118510	23aa	10	32	TM	tmhmm2.0c
Solyc03g118510	23aa	266	288	TM	tmhmm2.0c
Solyc03g123740	23aa	284	306	TM	tmhmm2.0c
Solyc03g123860	23aa	7	29	TM	tmhmm2.0c
Solyc03g123860	23aa	765	787	TM	tmhmm2.0c
Solyc05g010400	23aa	10	32	TM	tmhmm2.0c
Solyc05g010400	23aa	239	261	TM	tmhmm2.0c
Solyc06g065260	23aa	616	638	TM	tmhmm2.0c
Solyc07g006110	23aa	216	238	TM	tmhmm2.0c
Solyc07g055810	20aa	7	26	TM	tmhmm2.0c
Solyc07g055810	23aa	630	652	TM	tmhmm2.0c
Solyc08g074760	23aa	238	260	TM	tmhmm2.0c
Solyc08g076050	23aa	7	29	TM	tmhmm2.0c
Solyc08g076050	23aa	352	374	TM	tmhmm2.0c
Solyc08g079460	23aa	6	28	TM	tmhmm2.0c
Solyc08g079460	23aa	311	333	TM	tmhmm2.0c
Solyc08g079740	23aa	7	29	TM	tmhmm2.0c
Solyc08g079740	23aa	517	539	TM	tmhmm2.0c
Solyc08g080830	23aa	290	312	TM	tmhmm2.0c
Solyc09g008640	23aa	272	294	TM	tmhmm2.0c
Solyc09g030450	20aa	7	26	TM	tmhmm2.0c
Solyc09g030450	23aa	259	281	TM	tmhmm2.0c
Solyc09g072810	23aa	7	29	TM	tmhmm2.0c
Solyc09g072810	23aa	857	879	TM	tmhmm2.0c
Solyc11g069960	23aa	270	292	TM	tmhmm2.0c
Solyc12g014350	23aa	602	624	TM	tmhmm2.0c
Solyc12g096710	23aa	232	254	TM	tmhmm2.0c
Solyc01g067020	20aa	70	89	LRR	DeepLRR
Solyc01g067020	20aa	90	109	LRR	DeepLRR
Solyc01g067020	20aa	114	133	LRR	DeepLRR
Solyc01g067020	21aa	138	158	LRR	DeepLRR
Solyc01g067020	20aa	162	181	LRR	DeepLRR
Solyc01g067020	20aa	185	204	LRR	DeepLRR
Solyc01g067020	20aa	205	224	LRR	DeepLRR
Solyc01g102710	20aa	73	92	LRR	DeepLRR
Solyc01g102710	21aa	94	114	LRR	DeepLRR
Solyc01g102710	20aa	119	138	LRR	DeepLRR
Solyc01g102710	20aa	143	162	LRR	DeepLRR
Solyc01g102710	20aa	167	186	LRR	DeepLRR
Solyc01g102710	20aa	197	216	LRR	DeepLRR
Solyc01g102710	20aa	222	241	LRR	DeepLRR
Solyc01g102710	20aa	246	265	LRR	DeepLRR
Solyc01g102710	20aa	269	288	LRR	DeepLRR
Solyc01g102710	20aa	293	312	LRR	DeepLRR
Solyc01g102710	20aa	318	337	LRR	DeepLRR
Solyc01g102710	26aa	340	365	LRR	DeepLRR
Solyc01g102710	20aa	366	385	LRR	DeepLRR
Solyc01g104970	20aa	73	92	LRR	DeepLRR
Solyc01g104970	20aa	97	116	LRR	DeepLRR
Solyc01g104970	21aa	121	141	LRR	DeepLRR
Solyc01g104970	20aa	145	164	LRR	DeepLRR
Solyc01g104970	20aa	169	188	LRR	DeepLRR
Solyc01g104970	20aa	191	210	LRR	DeepLRR
Solyc01g108840	20aa	93	112	LRR	DeepLRR
Solyc01g108840	20aa	116	135	LRR	DeepLRR
Solyc01g108840	21aa	140	160	LRR	DeepLRR
Solyc01g108840	20aa	191	210	LRR	DeepLRR
Solyc01g108840	20aa	215	234	LRR	DeepLRR
Solyc01g108840	20aa	240	259	LRR	DeepLRR
Solyc01g108840	20aa	262	281	LRR	DeepLRR
Solyc01g108840	24aa	284	307	LRR	DeepLRR
Solyc01g108840	20aa	308	327	LRR	DeepLRR
Solyc01g108840	20aa	393	412	LRR	DeepLRR
Solyc01g108840	20aa	417	436	LRR	DeepLRR
Solyc01g108840	21aa	437	457	LRR	DeepLRR
Solyc02g070890	23aa	75	97	LRR	DeepLRR
Solyc02g070890	20aa	99	118	LRR	DeepLRR
Solyc02g070890	20aa	123	142	LRR	DeepLRR
Solyc02g070890	21aa	147	167	LRR	DeepLRR
Solyc02g070890	20aa	170	189	LRR	DeepLRR
Solyc02g070890	20aa	195	214	LRR	DeepLRR
Solyc02g070890	20aa	219	238	LRR	DeepLRR
Solyc02g070890	20aa	243	262	LRR	DeepLRR
Solyc02g070890	20aa	267	286	LRR	DeepLRR
Solyc02g070890	20aa	291	310	LRR	DeepLRR
Solyc02g070890	20aa	315	334	LRR	DeepLRR
Solyc02g070890	20aa	339	358	LRR	DeepLRR
Solyc02g070890	22aa	363	384	LRR	DeepLRR
Solyc02g070890	25aa	385	409	LRR	DeepLRR
Solyc02g070890	20aa	411	430	LRR	DeepLRR
Solyc02g070890	20aa	435	454	LRR	DeepLRR
Solyc02g070890	20aa	459	478	LRR	DeepLRR
Solyc02g070890	20aa	483	502	LRR	DeepLRR
Solyc02g070890	20aa	507	526	LRR	DeepLRR
Solyc02g070890	20aa	531	550	LRR	DeepLRR
Solyc02g070890	20aa	555	574	LRR	DeepLRR
Solyc02g070890	20aa	579	598	LRR	DeepLRR
Solyc02g070890	20aa	603	622	LRR	DeepLRR
Solyc02g070890	20aa	630	649	LRR	DeepLRR
Solyc02g070890	20aa	653	672	LRR	DeepLRR
Solyc02g070890	20aa	677	696	LRR	DeepLRR
Solyc02g070890	20aa	702	721	LRR	DeepLRR
Solyc02g070890	25aa	723	747	LRR	DeepLRR
Solyc02g070890	20aa	749	768	LRR	DeepLRR
Solyc02g070890	28aa	772	799	LRR	DeepLRR
Solyc02g093970	20aa	120	139	LRR	DeepLRR
Solyc02g093970	20aa	140	159	LRR	DeepLRR
Solyc02g093970	20aa	165	184	LRR	DeepLRR
Solyc02g093970	20aa	189	208	LRR	DeepLRR
Solyc02g093970	20aa	213	232	LRR	DeepLRR
Solyc02g093970	20aa	236	255	LRR	DeepLRR
Solyc02g093970	20aa	257	276	LRR	DeepLRR
Solyc02g093970	20aa	281	300	LRR	DeepLRR
Solyc02g093970	25aa	304	328	LRR	DeepLRR
Solyc02g093970	20aa	329	348	LRR	DeepLRR
Solyc03g005130	20aa	131	150	LRR	DeepLRR
Solyc03g005130	21aa	156	176	LRR	DeepLRR
Solyc03g005130	21aa	177	197	LRR	DeepLRR
Solyc03g006030	25aa	72	96	LRR	DeepLRR
Solyc03g006030	20aa	98	117	LRR	DeepLRR
Solyc03g006030	20aa	122	141	LRR	DeepLRR
Solyc03g006030	20aa	146	165	LRR	DeepLRR
Solyc03g006030	20aa	170	189	LRR	DeepLRR
Solyc03g006030	20aa	194	213	LRR	DeepLRR
Solyc03g006030	20aa	218	237	LRR	DeepLRR
Solyc03g006030	20aa	243	262	LRR	DeepLRR
Solyc03g006030	20aa	267	286	LRR	DeepLRR
Solyc03g006030	20aa	291	310	LRR	DeepLRR
Solyc03g006030	20aa	315	334	LRR	DeepLRR
Solyc03g006030	20aa	339	358	LRR	DeepLRR
Solyc03g006030	23aa	364	386	LRR	DeepLRR
Solyc03g006030	20aa	388	407	LRR	DeepLRR
Solyc03g006030	20aa	412	431	LRR	DeepLRR
Solyc03g006030	20aa	436	455	LRR	DeepLRR
Solyc03g006030	24aa	459	482	LRR	DeepLRR
Solyc03g006030	20aa	484	503	LRR	DeepLRR
Solyc03g006030	20aa	508	527	LRR	DeepLRR
Solyc03g006030	20aa	532	551	LRR	DeepLRR
Solyc03g006030	21aa	560	580	LRR	DeepLRR
Solyc03g006030	20aa	582	601	LRR	DeepLRR
Solyc03g006030	22aa	606	627	LRR	DeepLRR
Solyc03g006030	20aa	634	653	LRR	DeepLRR
Solyc03g006030	23aa	659	681	LRR	DeepLRR
Solyc03g006030	20aa	683	702	LRR	DeepLRR
Solyc03g006030	21aa	707	727	LRR	DeepLRR
Solyc03g006030	23aa	731	753	LRR	DeepLRR
Solyc03g006030	20aa	755	774	LRR	DeepLRR
Solyc03g006030	20aa	779	798	LRR	DeepLRR
Solyc03g006030	20aa	803	822	LRR	DeepLRR
Solyc03g006030	20aa	827	846	LRR	DeepLRR
Solyc03g006030	20aa	851	870	LRR	DeepLRR
Solyc03g006030	20aa	875	894	LRR	DeepLRR
Solyc03g006030	20aa	898	917	LRR	DeepLRR
Solyc03g006030	20aa	1072	1091	LRR	DeepLRR
Solyc03g006030	28aa	1099	1126	LRR	DeepLRR
Solyc03g006030	21aa	1127	1147	LRR	DeepLRR
Solyc03g006130	20aa	78	97	LRR	DeepLRR
Solyc03g006130	21aa	98	118	LRR	DeepLRR
Solyc03g006130	20aa	122	141	LRR	DeepLRR
Solyc03g006130	24aa	145	168	LRR	DeepLRR
Solyc03g115610	20aa	102	121	LRR	DeepLRR
Solyc03g115610	21aa	126	146	LRR	DeepLRR
Solyc03g115610	21aa	148	168	LRR	DeepLRR
Solyc03g115610	20aa	173	192	LRR	DeepLRR
Solyc03g115610	20aa	197	216	LRR	DeepLRR
Solyc03g115610	20aa	243	262	LRR	DeepLRR
Solyc03g115610	20aa	267	286	LRR	DeepLRR
Solyc03g115610	20aa	291	310	LRR	DeepLRR
Solyc03g115610	20aa	315	334	LRR	DeepLRR
Solyc03g115610	20aa	364	383	LRR	DeepLRR
Solyc03g115610	20aa	388	407	LRR	DeepLRR
Solyc03g115610	20aa	412	431	LRR	DeepLRR
Solyc03g115610	20aa	436	455	LRR	DeepLRR
Solyc03g115610	20aa	460	479	LRR	DeepLRR
Solyc03g115610	25aa	532	556	LRR	DeepLRR
Solyc03g115610	20aa	560	579	LRR	DeepLRR
Solyc03g115610	20aa	584	603	LRR	DeepLRR
Solyc03g115610	20aa	607	626	LRR	DeepLRR
Solyc03g115610	20aa	631	650	LRR	DeepLRR
Solyc03g115610	25aa	653	677	LRR	DeepLRR
Solyc03g118510	25aa	76	100	LRR	DeepLRR
Solyc03g118510	20aa	103	122	LRR	DeepLRR
Solyc03g118510	22aa	127	148	LRR	DeepLRR
Solyc03g118510	20aa	151	170	LRR	DeepLRR
Solyc03g118510	20aa	175	194	LRR	DeepLRR
Solyc03g118510	20aa	197	216	LRR	DeepLRR
Solyc03g123740	20aa	2	21	LRR	DeepLRR
Solyc03g123740	20aa	31	50	LRR	DeepLRR
Solyc03g123740	20aa	59	78	LRR	DeepLRR
Solyc03g123740	20aa	88	107	LRR	DeepLRR
Solyc03g123740	20aa	115	134	LRR	DeepLRR
Solyc03g123740	20aa	139	158	LRR	DeepLRR
Solyc03g123740	20aa	163	182	LRR	DeepLRR
Solyc03g123740	20aa	187	206	LRR	DeepLRR
Solyc03g123740	20aa	209	228	LRR	DeepLRR
Solyc03g123860	20aa	67	86	LRR	DeepLRR
Solyc03g123860	20aa	91	110	LRR	DeepLRR
Solyc03g123860	20aa	115	134	LRR	DeepLRR
Solyc03g123860	20aa	139	158	LRR	DeepLRR
Solyc03g123860	20aa	163	182	LRR	DeepLRR
Solyc03g123860	20aa	187	206	LRR	DeepLRR
Solyc03g123860	20aa	211	230	LRR	DeepLRR
Solyc03g123860	20aa	235	254	LRR	DeepLRR
Solyc03g123860	20aa	259	278	LRR	DeepLRR
Solyc03g123860	21aa	283	303	LRR	DeepLRR
Solyc03g123860	20aa	307	326	LRR	DeepLRR
Solyc03g123860	20aa	331	350	LRR	DeepLRR
Solyc03g123860	20aa	355	374	LRR	DeepLRR
Solyc03g123860	20aa	379	398	LRR	DeepLRR
Solyc03g123860	20aa	403	422	LRR	DeepLRR
Solyc03g123860	20aa	427	446	LRR	DeepLRR
Solyc03g123860	20aa	451	470	LRR	DeepLRR
Solyc03g123860	20aa	476	495	LRR	DeepLRR
Solyc03g123860	20aa	499	518	LRR	DeepLRR
Solyc03g123860	20aa	522	541	LRR	DeepLRR
Solyc03g123860	20aa	546	565	LRR	DeepLRR
Solyc03g123860	25aa	569	593	LRR	DeepLRR
Solyc03g123860	20aa	594	613	LRR	DeepLRR
Solyc03g123860	20aa	618	637	LRR	DeepLRR
Solyc03g123860	20aa	644	663	LRR	DeepLRR
Solyc03g123860	22aa	668	689	LRR	DeepLRR
Solyc03g123860	20aa	691	710	LRR	DeepLRR
Solyc05g010400	20aa	95	114	LRR	DeepLRR
Solyc05g010400	20aa	119	138	LRR	DeepLRR
Solyc05g010400	20aa	143	162	LRR	DeepLRR
Solyc05g010400	20aa	167	186	LRR	DeepLRR
Solyc06g065260	20aa	47	66	LRR	DeepLRR
Solyc06g065260	21aa	74	94	LRR	DeepLRR
Solyc06g065260	20aa	98	117	LRR	DeepLRR
Solyc06g065260	23aa	122	144	LRR	DeepLRR
Solyc06g065260	20aa	145	164	LRR	DeepLRR
Solyc06g065260	21aa	169	189	LRR	DeepLRR
Solyc06g065260	20aa	194	213	LRR	DeepLRR
Solyc06g065260	20aa	218	237	LRR	DeepLRR
Solyc06g065260	20aa	242	261	LRR	DeepLRR
Solyc06g065260	23aa	266	288	LRR	DeepLRR
Solyc06g065260	20aa	290	309	LRR	DeepLRR
Solyc06g065260	20aa	314	333	LRR	DeepLRR
Solyc06g065260	20aa	338	357	LRR	DeepLRR
Solyc06g065260	20aa	362	381	LRR	DeepLRR
Solyc06g065260	20aa	386	405	LRR	DeepLRR
Solyc06g065260	21aa	410	430	LRR	DeepLRR
Solyc06g065260	20aa	434	453	LRR	DeepLRR
Solyc06g065260	20aa	458	477	LRR	DeepLRR
Solyc06g065260	20aa	482	501	LRR	DeepLRR
Solyc06g065260	20aa	506	525	LRR	DeepLRR
Solyc06g065260	20aa	530	549	LRR	DeepLRR
Solyc06g065260	21aa	553	573	LRR	DeepLRR
Solyc07g006110	28aa	45	72	LRR	DeepLRR
Solyc07g006110	20aa	81	100	LRR	DeepLRR
Solyc07g006110	20aa	105	124	LRR	DeepLRR
Solyc07g006110	20aa	129	148	LRR	DeepLRR
Solyc07g006110	20aa	153	172	LRR	DeepLRR
Solyc07g006110	20aa	180	199	LRR	DeepLRR
Solyc07g055810	20aa	115	134	LRR	DeepLRR
Solyc07g055810	20aa	138	157	LRR	DeepLRR
Solyc07g055810	20aa	162	181	LRR	DeepLRR
Solyc07g055810	20aa	186	205	LRR	DeepLRR
Solyc07g055810	20aa	210	229	LRR	DeepLRR
Solyc07g055810	26aa	256	281	LRR	DeepLRR
Solyc07g055810	20aa	282	301	LRR	DeepLRR
Solyc07g055810	20aa	306	325	LRR	DeepLRR
Solyc07g055810	20aa	330	349	LRR	DeepLRR
Solyc07g055810	20aa	353	372	LRR	DeepLRR
Solyc07g055810	20aa	493	512	LRR	DeepLRR
Solyc07g055810	21aa	520	540	LRR	DeepLRR
Solyc07g055810	20aa	543	562	LRR	DeepLRR
Solyc08g074760	25aa	72	96	LRR	DeepLRR
Solyc08g074760	20aa	98	117	LRR	DeepLRR
Solyc08g074760	20aa	122	141	LRR	DeepLRR
Solyc08g074760	20aa	146	165	LRR	DeepLRR
Solyc08g074760	22aa	170	191	LRR	DeepLRR
Solyc08g074760	20aa	354	373	LRR	DeepLRR
Solyc08g074760	20aa	374	393	LRR	DeepLRR
Solyc08g074760	20aa	517	536	LRR	DeepLRR
Solyc08g074760	20aa	542	561	LRR	DeepLRR
Solyc08g074760	27aa	563	589	LRR	DeepLRR
Solyc08g076050	20aa	637	656	LRR	DeepLRR
Solyc08g076050	27aa	661	687	LRR	DeepLRR
Solyc08g076050	20aa	694	713	LRR	DeepLRR
Solyc08g079460	23aa	96	118	LRR	DeepLRR
Solyc08g079460	20aa	120	139	LRR	DeepLRR
Solyc08g079460	20aa	144	163	LRR	DeepLRR
Solyc08g079460	20aa	168	187	LRR	DeepLRR
Solyc08g079460	20aa	192	211	LRR	DeepLRR
Solyc08g079460	20aa	216	235	LRR	DeepLRR
Solyc08g079740	25aa	70	94	LRR	DeepLRR
Solyc08g079740	20aa	96	115	LRR	DeepLRR
Solyc08g079740	20aa	120	139	LRR	DeepLRR
Solyc08g079740	20aa	144	163	LRR	DeepLRR
Solyc08g079740	20aa	169	188	LRR	DeepLRR
Solyc08g079740	20aa	193	212	LRR	DeepLRR
Solyc08g079740	25aa	215	239	LRR	DeepLRR
Solyc08g079740	20aa	241	260	LRR	DeepLRR
Solyc08g079740	20aa	262	281	LRR	DeepLRR
Solyc08g079740	20aa	289	308	LRR	DeepLRR
Solyc08g079740	20aa	313	332	LRR	DeepLRR
Solyc08g079740	20aa	337	356	LRR	DeepLRR
Solyc08g079740	20aa	361	380	LRR	DeepLRR
Solyc08g079740	20aa	385	404	LRR	DeepLRR
Solyc08g079740	20aa	409	428	LRR	DeepLRR
Solyc08g079740	20aa	433	452	LRR	DeepLRR
Solyc08g079740	20aa	457	476	LRR	DeepLRR
Solyc08g079740	20aa	724	743	LRR	DeepLRR
Solyc08g079740	20aa	750	769	LRR	DeepLRR
Solyc08g079740	28aa	779	806	LRR	DeepLRR
Solyc08g080830	20aa	41	60	LRR	DeepLRR
Solyc08g080830	26aa	68	93	LRR	DeepLRR
Solyc08g080830	20aa	94	113	LRR	DeepLRR
Solyc08g080830	20aa	118	137	LRR	DeepLRR
Solyc08g080830	20aa	142	161	LRR	DeepLRR
Solyc08g080830	20aa	166	185	LRR	DeepLRR
Solyc09g008640	21aa	13	33	LRR	DeepLRR
Solyc09g008640	22aa	40	61	LRR	DeepLRR
Solyc09g008640	20aa	62	81	LRR	DeepLRR
Solyc09g008640	27aa	560	586	LRR	DeepLRR
Solyc09g008640	20aa	587	606	LRR	DeepLRR
Solyc09g008640	21aa	607	627	LRR	DeepLRR
Solyc09g030450	20aa	74	93	LRR	DeepLRR
Solyc09g030450	20aa	95	114	LRR	DeepLRR
Solyc09g030450	20aa	119	138	LRR	DeepLRR
Solyc09g030450	20aa	141	160	LRR	DeepLRR
Solyc09g030450	24aa	163	186	LRR	DeepLRR
Solyc09g030450	20aa	187	206	LRR	DeepLRR
Solyc09g072810	27aa	70	96	LRR	DeepLRR
Solyc09g072810	20aa	97	116	LRR	DeepLRR
Solyc09g072810	20aa	120	139	LRR	DeepLRR
Solyc09g072810	20aa	144	163	LRR	DeepLRR
Solyc09g072810	21aa	169	189	LRR	DeepLRR
Solyc09g072810	20aa	193	212	LRR	DeepLRR
Solyc09g072810	20aa	217	236	LRR	DeepLRR
Solyc09g072810	20aa	242	261	LRR	DeepLRR
Solyc09g072810	20aa	266	285	LRR	DeepLRR
Solyc09g072810	20aa	290	309	LRR	DeepLRR
Solyc09g072810	20aa	314	333	LRR	DeepLRR
Solyc09g072810	20aa	338	357	LRR	DeepLRR
Solyc09g072810	20aa	362	381	LRR	DeepLRR
Solyc09g072810	20aa	387	406	LRR	DeepLRR
Solyc09g072810	20aa	411	430	LRR	DeepLRR
Solyc09g072810	20aa	435	454	LRR	DeepLRR
Solyc09g072810	20aa	459	478	LRR	DeepLRR
Solyc09g072810	20aa	483	502	LRR	DeepLRR
Solyc09g072810	27aa	505	531	LRR	DeepLRR
Solyc09g072810	20aa	532	551	LRR	DeepLRR
Solyc09g072810	20aa	555	574	LRR	DeepLRR
Solyc09g072810	21aa	579	599	LRR	DeepLRR
Solyc09g072810	21aa	603	623	LRR	DeepLRR
Solyc09g072810	20aa	627	646	LRR	DeepLRR
Solyc09g072810	20aa	651	670	LRR	DeepLRR
Solyc09g072810	23aa	675	697	LRR	DeepLRR
Solyc09g072810	20aa	699	718	LRR	DeepLRR
Solyc09g072810	20aa	723	742	LRR	DeepLRR
Solyc09g072810	20aa	748	767	LRR	DeepLRR
Solyc09g072810	20aa	772	791	LRR	DeepLRR
Solyc09g072810	21aa	795	815	LRR	DeepLRR
Solyc09g072810	20aa	825	844	LRR	DeepLRR
Solyc11g069960	20aa	96	115	LRR	DeepLRR
Solyc11g069960	20aa	118	137	LRR	DeepLRR
Solyc11g069960	20aa	142	161	LRR	DeepLRR
Solyc11g069960	20aa	167	186	LRR	DeepLRR
Solyc11g069960	20aa	193	212	LRR	DeepLRR
Solyc12g014350	20aa	92	111	LRR	DeepLRR
Solyc12g014350	20aa	113	132	LRR	DeepLRR
Solyc12g014350	20aa	136	155	LRR	DeepLRR
Solyc12g014350	25aa	159	183	LRR	DeepLRR
Solyc12g014350	20aa	184	203	LRR	DeepLRR
Solyc12g014350	20aa	209	228	LRR	DeepLRR
Solyc12g014350	20aa	232	251	LRR	DeepLRR
Solyc12g014350	20aa	257	276	LRR	DeepLRR
Solyc12g014350	20aa	280	299	LRR	DeepLRR
Solyc12g014350	20aa	303	322	LRR	DeepLRR
Solyc12g014350	21aa	326	346	LRR	DeepLRR
Solyc12g014350	20aa	350	369	LRR	DeepLRR
Solyc12g096710	20aa	100	119	LRR	DeepLRR
Solyc12g096710	20aa	125	144	LRR	DeepLRR
Solyc12g096710	20aa	149	168	LRR	DeepLRR
Solyc12g096710	27aa	171	197	LRR	DeepLRR
Solyc12g096710	20aa	582	601	LRR	DeepLRR
Solyc12g096710	20aa	607	626	LRR	DeepLRR
Solyc12g096710	24aa	630	653	LRR	DeepLRR
Solyc12g096710	20aa	655	674	LRR	DeepLRR
Solyc12g096710	24aa	676	699	LRR	DeepLRR

Potential LRR-RLK Proteins:
Solyc02g070890
Solyc11g069960
Solyc03g123740
Solyc09g072810
Solyc07g006110
Solyc03g123860
Solyc03g006030
Solyc02g093970
Solyc03g115610
Solyc08g079740
Solyc03g006130
Solyc08g079460
Solyc09g030450
Solyc12g014350
Solyc01g104970
Solyc01g102710
Solyc08g080830
Solyc09g008640
Solyc07g055810
Solyc03g118510
Solyc03g005130
Solyc06g065260
Solyc05g010400
Solyc08g076050
Solyc12g096710
Solyc01g067020
Solyc08g074760
Solyc01g108840
