TF_ID	Gene_ID	Family
Solyc01g105230	Solyc01g105230.2	CAMTA
Solyc01g106030	Solyc01g106030.2	GATA
Solyc01g106040	Solyc01g106040.2	GATA
Solyc01g106460	Solyc01g106460.2	bHLH
Solyc01g107140	Solyc01g107140.1	bHLH
Solyc01g107190	Solyc01g107190.2	LBD
Solyc01g107950	Solyc01g107950.1	bHLH
Solyc01g107960	Solyc01g107960.2	bHLH
Solyc01g107970	Solyc01g107970.1	bHLH
Solyc01g108080	Solyc01g108080.2	bZIP
Solyc01g109240	Solyc01g109240.1	LBD
Solyc01g109700	Solyc01g109700.2	bHLH
Solyc01g109880	Solyc01g109880.2	bZIP
Solyc01g110140	Solyc01g110140.2	SRS
Solyc01g110310	Solyc01g110310.2	GATA
Solyc01g110470	Solyc01g110470.2	BBR-BPC
Solyc01g110480	Solyc01g110480.2	bZIP
Solyc01g111130	Solyc01g111130.2	bHLH
Solyc01g111580	Solyc01g111580.2	bZIP
Solyc01g112190	Solyc01g112190.2	Nin-like
Solyc01g112320	Solyc01g112320.2	FAR1
Solyc02g005290	Solyc02g005290.2	GeBP
Solyc02g014740	Solyc02g014740.1	GeBP
Solyc02g014750	Solyc02g014750.1	GeBP
Solyc02g021330	Solyc02g021330.1	NF-YC
Solyc02g021680	Solyc02g021680.2	WRKY
Solyc02g030460	Solyc02g030460.2	Trihelix
Solyc02g032180	Solyc02g032180.1	NF-YB
Solyc02g032190	Solyc02g032190.1	NF-YB
Solyc02g032950	Solyc02g032950.2	WRKY
Solyc02g036430	Solyc02g036430.1	NAC
Solyc02g061780	Solyc02g061780.2	NAC
Solyc02g061870	Solyc02g061870.1	NAC
Solyc02g061900	Solyc02g061900.1	NAC
Solyc02g061910	Solyc02g061910.1	NAC
Solyc02g061990	Solyc02g061990.2	bZIP
Solyc02g062060	Solyc02g062060.1	NAC
Solyc02g062070	Solyc02g062070.1	NAC
Solyc02g062090	Solyc02g062090.1	NAC
Solyc02g062210	Solyc02g062210.1	NAC
Solyc02g062380	Solyc02g062380.1	GATA
Solyc02g062400	Solyc02g062400.2	SRS
Solyc02g062690	Solyc02g062690.2	bHLH
Solyc02g062760	Solyc02g062760.2	GATA
Solyc02g062950	Solyc02g062950.2	bZIP
Solyc02g063010	Solyc02g063010.2	BES1
Solyc02g063430	Solyc02g063430.2	bHLH
Solyc02g065150	Solyc02g065150.1	LBD
Solyc02g065290	Solyc02g065290.1	Dof
Solyc02g065800	Solyc02g065800.1	TCP
Solyc02g067230	Solyc02g067230.2	Dof
Solyc02g067310	Solyc02g067310.2	ZF-HD
Solyc02g067320	Solyc02g067320.1	ZF-HD
Solyc02g067330	Solyc02g067330.1	ZF-HD
Solyc02g067380	Solyc02g067380.2	bHLH
Solyc02g067430	Solyc02g067430.2	WRKY
Solyc02g067800	Solyc02g067800.2	LBD
Solyc02g068200	Solyc02g068200.1	TCP
Solyc02g068550	Solyc02g068550.1	FAR1
Solyc02g069390	Solyc02g069390.1	Trihelix
Solyc02g069440	Solyc02g069440.2	LBD
Solyc02g069860	Solyc02g069860.2	NF-YA
Solyc02g069960	Solyc02g069960.2	NAC
Solyc02g070140	Solyc02g070140.1	NAC
Solyc02g070880	Solyc02g070880.1	bHLH
Solyc02g071130	Solyc02g071130.2	WRKY
Solyc02g071990	Solyc02g071990.2	BES1
Solyc02g072000	Solyc02g072000.2	HSF
Solyc02g072060	Solyc02g072060.1	HSF
Solyc02g072190	Solyc02g072190.2	WRKY
Solyc02g076810	Solyc02g076810.2	Trihelix
Solyc02g076850	Solyc02g076850.1	Dof
Solyc02g076920	Solyc02g076920.2	bHLH
Solyc02g077250	Solyc02g077250.2	TCP
Solyc02g077380	Solyc02g077380.1	LBD
Solyc02g077450	Solyc02g077450.2	VOZ
Solyc02g077610	Solyc02g077610.2	NAC
Solyc02g077920	Solyc02g077920.2	SBP
Solyc02g077950	Solyc02g077950.1	Dof
Solyc02g077960	Solyc02g077960.1	Dof
Solyc02g078130	Solyc02g078130.2	bHLH
Solyc02g078340	Solyc02g078340.2	HSF
Solyc02g078620	Solyc02g078620.1	Dof
Solyc02g079180	Solyc02g079180.1	HSF
Solyc02g079760	Solyc02g079760.2	bHLH
Solyc02g079810	Solyc02g079810.1	bHLH
Solyc02g079970	Solyc02g079970.2	bHLH
Solyc02g080890	Solyc02g080890.2	WRKY
Solyc02g081270	Solyc02g081270.2	NAC
Solyc02g083520	Solyc02g083520.2	bZIP
Solyc02g083750	Solyc02g083750.1	GeBP
Solyc02g084230	Solyc02g084230.1	BBR-BPC
Solyc02g084350	Solyc02g084350.2	NAC
Solyc02g084590	Solyc02g084590.2	GATA
Solyc02g084680	Solyc02g084680.2	SRS
Solyc02g084860	Solyc02g084860.1	bZIP
Solyc02g084880	Solyc02g084880.2	bHLH
Solyc02g085160	Solyc02g085160.1	ZF-HD
Solyc02g085190	Solyc02g085190.1	GATA
Solyc02g085340	Solyc02g085340.1	GRAS
Solyc02g085600	Solyc02g085600.1	GRAS
Solyc02g085610	Solyc02g085610.2	bZIP
Solyc02g085910	Solyc02g085910.2	LBD
Solyc02g086480	Solyc02g086480.1	LBD
Solyc02g087310	Solyc02g087310.2	E2F/DP
Solyc02g087570	Solyc02g087570.1	LBD
Solyc02g087860	Solyc02g087860.2	bHLH
Solyc02g087920	Solyc02g087920.2	NAC
Solyc02g087970	Solyc02g087970.1	ZF-HD
Solyc02g088070	Solyc02g088070.2	Dof
Solyc02g088180	Solyc02g088180.2	NAC
Solyc02g088340	Solyc02g088340.2	WRKY
Solyc02g089020	Solyc02g089020.1	TCP
Solyc02g089420	Solyc02g089420.1	bZIP
Solyc02g089830	Solyc02g089830.1	TCP
Solyc02g090220	Solyc02g090220.2	Dof
Solyc02g090310	Solyc02g090310.1	Dof
Solyc02g090410	Solyc02g090410.2	LBD
Solyc02g090820	Solyc02g090820.2	HSF
Solyc02g090950	Solyc02g090950.1	bHLH
Solyc02g091030	Solyc02g091030.2	NF-YC
Solyc02g091440	Solyc02g091440.1	bHLH
Solyc02g091690	Solyc02g091690.2	bHLH
Solyc02g091800	Solyc02g091800.2	bHLH
Solyc02g091810	Solyc02g091810.1	bHLH
Solyc02g091820	Solyc02g091820.1	bHLH
Solyc02g092090	Solyc02g092090.1	bZIP
Solyc02g092170	Solyc02g092170.1	FAR1
Solyc02g092370	Solyc02g092370.1	GRAS
Solyc02g092550	Solyc02g092550.2	LBD
Solyc02g092570	Solyc02g092570.1	GRAS
Solyc02g093050	Solyc02g093050.2	WRKY
Solyc02g093280	Solyc02g093280.2	bHLH
Solyc02g093420	Solyc02g093420.2	NAC
Solyc02g094270	Solyc02g094270.1	WRKY
Solyc02g094290	Solyc02g094290.1	TCP
Solyc02g094340	Solyc02g094340.1	GRAS
Solyc03g005350	Solyc03g005350.2	bHLH
Solyc03g005990	Solyc03g005990.2	BES1
Solyc03g006000	Solyc03g006000.2	HSF
Solyc03g006800	Solyc03g006800.1	TCP
Solyc03g006900	Solyc03g006900.1	Trihelix
Solyc03g006910	Solyc03g006910.2	bHLH
Solyc03g007380	Solyc03g007380.1	WRKY
Solyc03g007410	Solyc03g007410.2	bHLH
Solyc03g007640	Solyc03g007640.1	WRKY
Solyc03g025170	Solyc03g025170.1	GRAS
Solyc03g026020	Solyc03g026020.2	HSF
Solyc03g031450	Solyc03g031450.2	bHLH
Solyc03g033660	Solyc03g033660.2	GATA
Solyc03g033680	Solyc03g033680.1	SRS
Solyc03g033730	Solyc03g033730.1	bZIP
Solyc03g034000	Solyc03g034000.2	bHLH
Solyc03g043810	Solyc03g043810.1	bZIP
Solyc03g043820	Solyc03g043820.1	bZIP
Solyc03g043830	Solyc03g043830.1	bZIP
Solyc03g043840	Solyc03g043840.1	bZIP
Solyc03g043900	Solyc03g043900.1	bZIP
Solyc03g044460	Solyc03g044460.1	bHLH
Solyc03g044690	Solyc03g044690.1	FAR1
Solyc03g045030	Solyc03g045030.1	TCP
Solyc03g046440	Solyc03g046440.1	bZIP
Solyc03g059300	Solyc03g059300.1	NAC
Solyc03g061620	Solyc03g061620.1	ZF-HD
Solyc03g062670	Solyc03g062670.1	NAC
Solyc03g062750	Solyc03g062750.1	NAC
Solyc03g063140	Solyc03g063140.2	LBD
Solyc03g078120	Solyc03g078120.2	NAC
Solyc03g080090	Solyc03g080090.2	NAC
Solyc03g082750	Solyc03g082750.1	WRKY
Solyc03g082810	Solyc03g082810.1	WRKY
Solyc03g082840	Solyc03g082840.2	Dof
Solyc03g083040	Solyc03g083040.1	Nin-like
Solyc03g083880	Solyc03g083880.2	NAC
Solyc03g095770	Solyc03g095770.2	WRKY
Solyc03g095940	Solyc03g095940.1	LBD
Solyc03g095980	Solyc03g095980.2	bHLH
Solyc03g096630	Solyc03g096630.1	EIL
Solyc03g097120	Solyc03g097120.2	HSF
Solyc03g097650	Solyc03g097650.2	NAC
Solyc03g097820	Solyc03g097820.1	bHLH
Solyc03g098060	Solyc03g098060.1	ZF-HD
Solyc03g098190	Solyc03g098190.2	NAC
Solyc03g104810	Solyc03g104810.2	WRKY
Solyc03g110840	Solyc03g110840.1	NF-YC
Solyc03g110850	Solyc03g110850.1	NF-YC
Solyc03g110860	Solyc03g110860.2	NF-YC
Solyc03g110950	Solyc03g110950.1	GRAS
Solyc03g111260	Solyc03g111260.2	Trihelix
Solyc03g111450	Solyc03g111450.1	NF-YC
Solyc03g111460	Solyc03g111460.1	NF-YC
Solyc03g111470	Solyc03g111470.1	NF-YC
Solyc03g112430	Solyc03g112430.1	LBD
Solyc03g112930	Solyc03g112930.2	Dof
Solyc03g113110	Solyc03g113110.1	FAR1
Solyc03g113120	Solyc03g113120.2	WRKY
Solyc03g113360	Solyc03g113360.2	LBD
Solyc03g113560	Solyc03g113560.2	bHLH
Solyc03g113760	Solyc03g113760.2	E2F/DP
Solyc03g114220	Solyc03g114220.1	NAC
Solyc03g114230	Solyc03g114230.1	bHLH
Solyc03g114260	Solyc03g114260.1	NAC
Solyc03g114400	Solyc03g114400.2	NF-YB
Solyc03g114720	Solyc03g114720.2	bHLH
Solyc03g114850	Solyc03g114850.2	SBP
Solyc03g115010	Solyc03g115010.1	TCP
Solyc03g115540	Solyc03g115540.1	bHLH
Solyc03g115850	Solyc03g115850.2	NAC
Solyc03g115940	Solyc03g115940.2	Dof
Solyc03g116010	Solyc03g116010.1	Nin-like
Solyc03g116070	Solyc03g116070.1	ZF-HD
Solyc03g116320	Solyc03g116320.2	TCP
Solyc03g116890	Solyc03g116890.2	WRKY
Solyc03g117520	Solyc03g117520.1	FAR1
Solyc03g118160	Solyc03g118160.1	LFY
Solyc03g118230	Solyc03g118230.1	Trihelix
Solyc03g118310	Solyc03g118310.2	bHLH
Solyc03g118420	Solyc03g118420.2	NF-X1
Solyc03g119390	Solyc03g119390.2	bHLH
Solyc03g119530	Solyc03g119530.2	LBD
Solyc03g119770	Solyc03g119770.2	TCP
Solyc03g120530	Solyc03g120530.2	bHLH
Solyc03g120890	Solyc03g120890.2	GATA
Solyc03g121240	Solyc03g121240.1	bHLH
Solyc03g121400	Solyc03g121400.1	Dof
Solyc03g121630	Solyc03g121630.2	FAR1
Solyc03g121940	Solyc03g121940.2	NF-YA
Solyc03g122030	Solyc03g122030.1	Trihelix
Solyc03g123400	Solyc03g123400.1	GRAS
Solyc04g005130	Solyc04g005130.2	bHLH
Solyc04g005170	Solyc04g005170.1	bZIP
Solyc04g005220	Solyc04g005220.1	bHLH
Solyc04g005280	Solyc04g005280.2	bHLH
Solyc04g005610	Solyc04g005610.2	NAC
Solyc04g005660	Solyc04g005660.2	bHLH
Solyc04g006980	Solyc04g006980.1	TCP
Solyc04g006990	Solyc04g006990.2	bHLH
Solyc04g007300	Solyc04g007300.2	bHLH
Solyc04g007430	Solyc04g007430.1	bHLH
Solyc04g008380	Solyc04g008380.2	BBR-BPC
Solyc04g009180	Solyc04g009180.1	TCP
Solyc04g009440	Solyc04g009440.2	NAC
Solyc04g009520	Solyc04g009520.2	NF-YB
Solyc04g011630	Solyc04g011630.1	GRAS
Solyc04g011670	Solyc04g011670.2	bZIP
Solyc04g014260	Solyc04g014260.1	ZF-HD
Solyc04g014360	Solyc04g014360.2	bHLH
Solyc04g014830	Solyc04g014830.1	GRAS
Solyc04g015060	Solyc04g015060.1	NF-YB
Solyc04g015360	Solyc04g015360.2	GATA
Solyc04g015960	Solyc04g015960.2	NAC
Solyc04g016000	Solyc04g016000.2	HSF
Solyc04g025760	Solyc04g025760.1	NAC
Solyc04g045430	Solyc04g045430.2	Trihelix
Solyc04g045560	Solyc04g045560.2	SBP
Solyc04g049910	Solyc04g049910.2	NF-YB
Solyc04g050010	Solyc04g050010.1	LBD
Solyc04g050210	Solyc04g050210.1	WRKY
Solyc04g051540	Solyc04g051540.2	WRKY
Solyc04g051690	Solyc04g051690.2	WRKY
Solyc04g054150	Solyc04g054150.1	NF-YB
Solyc04g054320	Solyc04g054320.2	bZIP
Solyc04g054840	Solyc04g054840.1	EIL
Solyc04g056270	Solyc04g056270.2	CAMTA
Solyc04g056360	Solyc04g056360.2	WRKY
Solyc04g056460	Solyc04g056460.1	bZIP
Solyc04g064470	Solyc04g064470.1	SBP
Solyc04g064550	Solyc04g064550.1	GRAS
Solyc04g070960	Solyc04g070960.1	Dof
Solyc04g071160	Solyc04g071160.2	bZIP
Solyc04g071360	Solyc04g071360.2	Trihelix
Solyc04g071510	Solyc04g071510.2	bZIP
Solyc04g072070	Solyc04g072070.2	WRKY
Solyc04g072220	Solyc04g072220.2	NAC
Solyc04g072460	Solyc04g072460.2	bZIP
Solyc04g074810	Solyc04g074810.2	bHLH
Solyc04g074990	Solyc04g074990.2	ZF-HD
Solyc04g076240	Solyc04g076240.1	bHLH
Solyc04g076530	Solyc04g076530.2	GATA
Solyc04g077480	Solyc04g077480.2	bHLH
Solyc04g077960	Solyc04g077960.1	bHLH
Solyc04g077990	Solyc04g077990.2	LBD
Solyc04g078550	Solyc04g078550.2	WRKY
Solyc04g078670	Solyc04g078670.2	NAC
Solyc04g078690	Solyc04g078690.2	bHLH
Solyc04g078770	Solyc04g078770.2	HSF
Solyc04g078790	Solyc04g078790.2	bHLH
Solyc04g078840	Solyc04g078840.2	bZIP
Solyc04g079570	Solyc04g079570.1	Dof
Solyc04g079940	Solyc04g079940.2	NAC
Solyc04g079980	Solyc04g079980.2	BES1
Solyc04g080490	Solyc04g080490.2	ZF-HD
Solyc04g080710	Solyc04g080710.2	bHLH
Solyc04g080740	Solyc04g080740.1	bZIP
Solyc04g080970	Solyc04g080970.2	SRS
Solyc04g081170	Solyc04g081170.2	BBR-BPC
Solyc04g081190	Solyc04g081190.2	bZIP
Solyc04g081350	Solyc04g081350.2	E2F/DP
Solyc04g082480	Solyc04g082480.2	Nin-like
Solyc04g082890	Solyc04g082890.2	bZIP
Solyc05g005240	Solyc05g005240.1	YABBY
Solyc05g005300	Solyc05g005300.2	bHLH
Solyc05g005350	Solyc05g005350.1	NF-YB
Solyc05g005360	Solyc05g005360.1	NF-YB
Solyc05g005370	Solyc05g005370.1	NF-YB
Solyc05g005380	Solyc05g005380.1	NF-YB
Solyc05g005390	Solyc05g005390.1	NF-YB
Solyc05g005440	Solyc05g005440.1	NF-YB
Solyc05g006650	Solyc05g006650.2	bHLH
Solyc05g007100	Solyc05g007100.2	Whirly
Solyc05g007110	Solyc05g007110.2	WRKY
Solyc05g007210	Solyc05g007210.2	bHLH
Solyc05g007420	Solyc05g007420.1	TCP
Solyc05g007550	Solyc05g007550.1	NAC
Solyc05g007580	Solyc05g007580.1	ZF-HD
Solyc05g007770	Solyc05g007770.2	NAC
Solyc05g007880	Solyc05g007880.2	Dof
Solyc05g009220	Solyc05g009220.2	bHLH
Solyc05g009320	Solyc05g009320.2	LBD
Solyc05g009640	Solyc05g009640.2	bHLH
Solyc05g009660	Solyc05g009660.2	bZIP
Solyc05g009840	Solyc05g009840.2	NAC
Solyc05g009880	Solyc05g009880.2	bHLH
Solyc05g009900	Solyc05g009900.1	TCP
Solyc05g010610	Solyc05g010610.2	bHLH
Solyc05g010740	Solyc05g010740.1	NAC
Solyc05g011810	Solyc05g011810.2	bHLH
Solyc05g012040	Solyc05g012040.2	SBP
Solyc05g012050	Solyc05g012050.2	YABBY
Solyc05g012500	Solyc05g012500.2	WRKY
Solyc05g012770	Solyc05g012770.2	WRKY
Solyc05g012840	Solyc05g012840.1	TCP
Solyc05g014040	Solyc05g014040.1	WRKY
Solyc05g014590	Solyc05g014590.2	bHLH
Solyc05g014800	Solyc05g014800.1	NF-YC
Solyc05g014830	Solyc05g014830.1	NF-YC
Solyc05g014930	Solyc05g014930.1	FAR1
Solyc05g015330	Solyc05g015330.1	NF-YC
Solyc05g015510	Solyc05g015510.2	SBP
Solyc05g015550	Solyc05g015550.1	NF-YB
Solyc05g015650	Solyc05g015650.2	CAMTA
Solyc05g015840	Solyc05g015840.2	SBP
Solyc05g015850	Solyc05g015850.2	WRKY
Solyc05g018350	Solyc05g018350.2	Trihelix
Solyc05g018740	Solyc05g018740.1	ZF-HD
Solyc05g020000	Solyc05g020000.1	ZF-HD
Solyc05g021090	Solyc05g021090.2	NAC
Solyc05g026180	Solyc05g026180.1	NAC
Solyc05g032780	Solyc05g032780.1	TCP
Solyc05g041220	Solyc05g041220.1	SAP
Solyc05g045710	Solyc05g045710.1	WRKY
Solyc05g045800	Solyc05g045800.1	WRKY
Solyc05g045880	Solyc05g045880.1	WRKY
Solyc05g048740	Solyc05g048740.2	LBD
Solyc05g050040	Solyc05g050040.1	WRKY
Solyc05g050050	Solyc05g050050.1	WRKY
Solyc05g050060	Solyc05g050060.1	WRKY
Solyc05g050220	Solyc05g050220.2	bZIP
Solyc05g050300	Solyc05g050300.1	WRKY
Solyc05g050330	Solyc05g050330.2	WRKY
Solyc05g050340	Solyc05g050340.2	WRKY
Solyc05g050560	Solyc05g050560.1	bHLH
Solyc05g051330	Solyc05g051330.1	GeBP
Solyc05g051420	Solyc05g051420.1	ZF-HD
Solyc05g053090	Solyc05g053090.1	GRAS
Solyc05g053240	Solyc05g053240.2	SBP
Solyc05g053380	Solyc05g053380.2	WRKY
Solyc05g053420	Solyc05g053420.1	GRAS
Solyc05g053500	Solyc05g053500.2	GATA
Solyc05g053660	Solyc05g053660.1	bHLH
Solyc05g054170	Solyc05g054170.2	GRAS
Solyc05g054400	Solyc05g054400.2	GATA
Solyc05g054510	Solyc05g054510.1	Dof
Solyc05g055470	Solyc05g055470.2	NAC
Solyc05g055480	Solyc05g055480.2	NAC
Solyc05g055750	Solyc05g055750.2	WRKY
Solyc05g056120	Solyc05g056120.2	GATA
Solyc06g005090	Solyc06g005090.2	LBD
Solyc06g005130	Solyc06g005130.2	Dof
Solyc06g007390	Solyc06g007390.2	LBD
Solyc06g008030	Solyc06g008030.2	bHLH
Solyc06g008360	Solyc06g008360.2	NAC
Solyc06g008610	Solyc06g008610.2	WRKY
Solyc06g009010	Solyc06g009010.1	NF-YB
Solyc06g009610	Solyc06g009610.1	GRAS
Solyc06g009640	Solyc06g009640.1	bZIP
Solyc06g016750	Solyc06g016750.2	NF-YC
Solyc06g034340	Solyc06g034340.1	NAC
Solyc06g035490	Solyc06g035490.2	bHLH
Solyc06g035620	Solyc06g035620.2	GRAS
Solyc06g036170	Solyc06g036170.1	GRAS
Solyc06g048630	Solyc06g048630.2	bZIP
Solyc06g048870	Solyc06g048870.1	WRKY
Solyc06g049040	Solyc06g049040.2	bZIP
Solyc06g050430	Solyc06g050430.2	LBD
Solyc06g050840	Solyc06g050840.2	bHLH
Solyc06g050950	Solyc06g050950.2	LBD
Solyc06g051120	Solyc06g051120.2	Trihelix
Solyc06g051260	Solyc06g051260.2	bHLH
Solyc06g051550	Solyc06g051550.2	bHLH
Solyc06g051570	Solyc06g051570.2	NF-X1
Solyc06g053350	Solyc06g053350.2	bZIP
Solyc06g053960	Solyc06g053960.2	HSF
Solyc06g054040	Solyc06g054040.1	FAR1
Solyc06g060230	Solyc06g060230.2	NAC
Solyc06g060490	Solyc06g060490.2	bZIP
Solyc06g060940	Solyc06g060940.1	GATA
Solyc06g061080	Solyc06g061080.2	NAC
Solyc06g062460	Solyc06g062460.2	bHLH
Solyc06g062520	Solyc06g062520.1	Dof
Solyc06g062630	Solyc06g062630.2	LBD
Solyc06g063380	Solyc06g063380.1	NAC
Solyc06g063430	Solyc06g063430.1	NAC
Solyc06g064540	Solyc06g064540.1	LBD
Solyc06g064580	Solyc06g064580.1	bHLH
Solyc06g064590	Solyc06g064590.1	bHLH
Solyc06g065040	Solyc06g065040.2	bHLH
Solyc06g065190	Solyc06g065190.1	TCP
Solyc06g065410	Solyc06g065410.2	NAC
Solyc06g066370	Solyc06g066370.2	WRKY
Solyc06g068200	Solyc06g068200.1	FAR1
Solyc06g068210	Solyc06g068210.1	FAR1
Solyc06g068460	Solyc06g068460.2	WRKY
Solyc06g068580	Solyc06g068580.1	NAC
Solyc06g068870	Solyc06g068870.2	bHLH
Solyc06g069100	Solyc06g069100.1	NAC
Solyc06g069240	Solyc06g069240.1	TCP
Solyc06g069310	Solyc06g069310.2	NF-YB
Solyc06g069370	Solyc06g069370.2	bHLH
Solyc06g069460	Solyc06g069460.1	TCP
Solyc06g069600	Solyc06g069600.1	bHLH
Solyc06g069710	Solyc06g069710.2	NAC
Solyc06g069760	Solyc06g069760.2	Dof
Solyc06g070900	Solyc06g070900.2	TCP
Solyc06g070910	Solyc06g070910.2	bHLH
Solyc06g070990	Solyc06g070990.2	WRKY
Solyc06g071480	Solyc06g071480.2	Dof
Solyc06g071660	Solyc06g071660.1	LBD
Solyc06g072040	Solyc06g072040.1	NF-YC
Solyc06g072370	Solyc06g072370.2	BBR-BPC
Solyc06g072520	Solyc06g072520.1	bHLH
Solyc06g072750	Solyc06g072750.2	HSF
Solyc06g073050	Solyc06g073050.2	NAC
Solyc06g073200	Solyc06g073200.2	FAR1
Solyc06g073210	Solyc06g073210.2	FAR1
Solyc06g073670	Solyc06g073670.2	FAR1
Solyc06g073720	Solyc06g073720.1	EIL
Solyc06g073730	Solyc06g073730.1	EIL
Solyc06g073920	Solyc06g073920.2	YABBY
Solyc06g074010	Solyc06g074010.2	E2F/DP
Solyc06g074170	Solyc06g074170.2	NAC
Solyc06g074320	Solyc06g074320.2	bZIP
Solyc06g075140	Solyc06g075140.2	GATA
Solyc06g075330	Solyc06g075330.1	LBD
Solyc06g075370	Solyc06g075370.2	Dof
Solyc06g076030	Solyc06g076030.2	Dof
Solyc06g076280	Solyc06g076280.1	GRAS
Solyc06g076290	Solyc06g076290.1	GRAS
Solyc06g082310	Solyc06g082310.2	LBD
Solyc06g082430	Solyc06g082430.1	LBD
Solyc06g082530	Solyc06g082530.1	GRAS
